
Image Name                     PID Session Name        Session#    Mem Usage
msedgewebview2.exe            4676 Console                   15      2,356 K
msedgewebview2.exe           32000 Console                   15      1,720 K
msedgewebview2.exe           32556 Console                   15      2,732 K
Skype.exe                    21728 Console                   15     39,832 K
vcpkgsrv.exe                 30648 Console                   15     29,440 K
Skype.exe                     1760 Console                   15      4,388 K
Skype.exe                    20880 Console                   15     26,828 K
Skype.exe                    12892 Console                   15    138,832 K
ServiceHub.RoslynCodeAnal    23464 Console                   15     21,348 K
ServiceHub.SettingsHost.e     3108 Console                   15     17,796 K
ServiceHub.IntellicodeMod    27792 Console                   15      8,548 K
Skype.exe                    11704 Console                   15      6,788 K
ONENOTEM.EXE                 26988 Console                   15      1,748 K
jusched.exe                   4024 Console                   15      1,712 K
ServiceHub.Host.netfx.x86    19680 Console                   15     14,452 K
RuntimeBroker.exe            23200 Console                   15      2,184 K
Skype.exe                     5472 Console                   15      8,588 K
Code.exe                     25968 Console                   15     53,596 K
Code.exe                     24936 Console                   15      6,440 K
Code.exe                     26664 Console                   15     41,924 K
Code.exe                      5800 Console                   15     28,980 K
Code.exe                     24772 Console                   15    140,432 K
Code.exe                     31988 Console                   15     43,192 K
Code.exe                     23492 Console                   15     15,636 K
Code.exe                     24748 Console                   15     17,292 K
svchost.exe                  19792 Services                   0      4,692 K
ServiceHub.Host.AnyCPU.ex    26832 Console                   15     39,596 K
ServiceHub.TestWindowStor    12532 Console                   15     25,324 K
vcpkgsrv.exe                  5668 Console                   15     12,628 K
vcpkgsrv.exe                 26236 Console                   15      6,444 K
vcpkgsrv.exe                 23664 Console                   15     11,092 K
SystemSettings.exe           19316 Console                   15      1,316 K
ApplicationFrameHost.exe     26788 Console                   15      9,856 K
svchost.exe                   1400 Console                   15      2,608 K
UserOOBEBroker.exe           25032 Console                   15      3,512 K
ctfmon.exe                   18204 Console                   15     17,236 K
AsusOptimizationStartupTa    20668 Console                   15      4,292 K
chrome.exe                   21372 Console                   15    199,732 K
